句1模型,句1词牌,句1题目,句1内容,句2模型,句2词牌,句2题目,句2内容,语义相似度,字面相似度,差值(伪原创指数)
doubao-seed-2.0-pro,沁园春,秋登北固山怀稼轩,藓蚀碑残,qwen3.6-plus,浪淘沙,秋江望月,残碑苔蚀字犹香,0.9166,0.1818,0.7348
qwen3.6-plus,祝英台近,秋江夜泊,孤棹泊烟浦,qwen3.6-plus,祝英台近,秋江夜泊,烟渚泊孤艇,0.9210,0.2000,0.7210
doubao-seed-2.0-pro,沁园春,秋登北固山怀稼轩,一抹斜晖浸野塘,doubao-seed-2.0-pro,菩萨蛮,横塘晚望,横塘水浸斜阳碧,0.8599,0.1429,0.7170
qwen3.6-plus,祝英台近,暮江吟,孤舟泊寒渚,qwen3.6-plus,祝英台近,秋浦夜泊,寒浦泊孤棹,0.9161,0.2000,0.7161
doubao-seed-2.0-pro,清平乐,秋江晚眺,凭栏小立凝眸,deepseek-3.2-thinking,清平乐,暮秋感怀,独倚阑干凝伫处,0.8686,0.1538,0.7148
qwen3.6-plus,菩萨蛮,秋江夜泊,暮云凝碧江波阔,qwen3.6-plus,菩萨蛮,秋江夜泊,秋江暮霭连天远,0.8554,0.1429,0.7126
doubao-seed-2.0-pro,沁园春,秋登北固山怀稼轩,藓蚀碑残,qwen3.6-plus,浪淘沙,秋江夜泊,残碑苔蚀旧亭幽,0.8936,0.1818,0.7118
doubao-seed-2.0-pro,浪淘沙,淮上晚泊,欲寄音书无过雁,deepseek-3.2-thinking,祝英台近,秋夜寄远,鸿雁无书传,0.8758,0.1667,0.7091
doubao-seed-2.0-pro,浪淘沙,秋夜泊淮上,欲寄音书无过雁,deepseek-3.2-thinking,祝英台近,秋夜寄远,鸿雁无书传,0.8758,0.1667,0.7091
qwen3.6-plus,菩萨蛮,秋江晚眺,星霜催岁换,qwen3.6-plus,浪淘沙,秋江晚望,岁律潜催霜鬓改,0.8739,0.1667,0.7073
doubao-seed-2.0-pro,浪淘沙,客舟晚望,欲寄音书无雁字,deepseek-3.2-thinking,祝英台近,云崖秋思,鱼书难寄,0.8877,0.1818,0.7058
qwen3.6-plus,祝英台近,秋江吟,渔火明还灭,deepseek-3.2-thinking,祝英台近,秋江夜泊,寒灯明灭渔村,0.8871,0.1818,0.7053
qwen3.6-plus,菩萨蛮,秋江夜泊,渔火明还灭,deepseek-3.2-thinking,祝英台近,秋江夜泊,寒灯明灭渔村,0.8871,0.1818,0.7053
doubao-seed-2.0-pro,浪淘沙,客舟晚望,欲寄音书无雁字,deepseek-3.2-thinking,祝英台近,秋夜寄远,鸿雁无书传,0.8701,0.1667,0.7035
doubao-seed-2.0-pro,清平乐,秋江晚眺,凭栏小立凝眸,qwen3.6-plus,清平乐,夜坐,独倚阑干凝伫,0.8688,0.1667,0.7022
doubao-seed-2.0-pro,浪淘沙,客中秋思,欲寄家书无过雁,deepseek-3.2-thinking,祝英台近,秋夜寄远,鸿雁无书传,0.8672,0.1667,0.7006
doubao-seed-2.0-pro,清平乐,秋江晚眺,凭栏小立凝眸,glm-5,清平乐,秋暮,独倚阑干凝盼,0.8647,0.1667,0.6981
deepseek-3.2-thinking,清平乐,夏夜寄怀,欲寄鱼书无雁,deepseek-3.2-thinking,祝英台近,秋夜寄远,鸿雁无书传,0.8687,0.1818,0.6868
doubao-seed-2.0-pro,浪淘沙,淮上晚泊,欲寄音书无过雁,deepseek-3.2-thinking,祝英台近,云崖秋思,鱼书难寄,0.8646,0.1818,0.6828
doubao-seed-2.0-pro,浪淘沙,秋夜泊淮上,欲寄音书无过雁,deepseek-3.2-thinking,祝英台近,云崖秋思,鱼书难寄,0.8646,0.1818,0.6828
doubao-seed-2.0-pro,祝英台近,枫桥晚泊,客衣薄透霜风,doubao-seed-2.0-pro,祝英台近,秋窗忆远,风透薄衫素,0.8645,0.1818,0.6827
doubao-seed-2.0-pro,浪淘沙,秋晚登京口北固亭,云阔天宽,glm-5,沁园春,夜观星图,天阔云疏,0.9301,0.2500,0.6801
doubao-seed-2.0-pro,沁园春,暮秋登北固山寄塞上故人,望断遥天雁字长,glm-5,沁园春,晚秋江上,长空雁断,0.8614,0.1818,0.6796
doubao-seed-2.0-pro,浪淘沙,客中秋思,欲寄家书无过雁,deepseek-3.2-thinking,祝英台近,云崖秋思,鱼书难寄,0.8594,0.1818,0.6776
doubao-seed-2.0-pro,沁园春,秋登京口北固楼有怀,芦花白渚,qwen3.6-plus,菩萨蛮,秋江暮眺,白蘋洲畔荻花飞,0.8593,0.1818,0.6774
doubao-seed-2.0-pro,浪淘沙,客中秋望,目断归鸿,deepseek-3.2-thinking,祝英台近,暮秋感怀,望断南飞雁,0.8978,0.2222,0.6756
doubao-seed-2.0-pro,菩萨蛮,枫江晚泊,客鬓惊华发,doubao-seed-2.0-pro,菩萨蛮,江口晚泊,岁华催鬓老,0.8740,0.2000,0.6740
deepseek-3.2-thinking,菩萨蛮,夜读有感,心静自然中,deepseek-3.2-thinking,清平乐,山夜,静坐观心悟道,0.8547,0.1818,0.6729
qwen3.6-plus,祝英台近,暮江吟,孤舟泊寒渚,qwen3.6-plus,祝英台近,秋江夜泊,烟渚泊孤艇,0.8727,0.2000,0.6727
doubao-seed-2.0-pro,菩萨蛮,桐江秋夜旅泊,暗添霜鬓星,glm-5,祝英台近,秋怀,如今两鬓霜侵,0.8545,0.1818,0.6727
deepseek-3.2-thinking,清平乐,夏夜寄怀,欲寄鱼书无雁,deepseek-3.2-thinking,祝英台近,云屏忆,音书难寄,0.8726,0.2000,0.6726
doubao-seed-2.0-pro,沁园春,秋泊瓜洲晚望,残碑字蚀,doubao-seed-2.0-pro,沁园春,秋登北固山怀稼轩,藓蚀碑残,0.9226,0.2500,0.6726
doubao-seed-2.0-pro,沁园春,秋登北固山怀稼轩,藓蚀碑残,doubao-seed-2.0-pro,沁园春,登多景楼感怀,残碑字蚀,0.9226,0.2500,0.6726
doubao-seed-2.0-pro,沁园春,秋登北固山怀稼轩,藓蚀碑残,doubao-seed-2.0-pro,沁园春,秋登北固山怀稼轩,残碑字蚀,0.9226,0.2500,0.6726
doubao-seed-2.0-pro,沁园春,秋登栖霞山寄友,屐印苔深,doubao-seed-2.0-pro,祝英台近,秋晚过废园,苔痕印屐路,0.8947,0.2222,0.6725
doubao-seed-2.0-pro,浪淘沙,山驿晚秋,欲寄寒笺无雁托,qwen3.6-plus,祝英台近,秋江暮思,霜笺难寄,0.8535,0.1818,0.6717
doubao-seed-2.0-pro,祝英台近,秋江旅思,断雁声中,qwen3.6-plus,浪淘沙,江畔秋思,雁阵惊寒声断续,0.8531,0.1818,0.6713
doubao-seed-2.0-pro,沁园春,秋日登栖霞岭望西湖,澄波卷碧,qwen3.6-plus,菩萨蛮,秋江晚望,寒江凝碧波光皱,0.8514,0.1818,0.6696
doubao-seed-2.0-pro,浪淘沙,客次中秋对月,云敛暮天青,qwen3.6-plus,浪淘沙,江行秋望,野阔暮云收,0.8694,0.2000,0.6694
doubao-seed-2.0-pro,浪淘沙,客中秋思,欲寄家书无过雁,deepseek-3.2-thinking,祝英台近,云屏忆,音书难寄,0.8505,0.1818,0.6686
qwen3.6-plus,菩萨蛮,秋山隐逸,夕阳明远山,glm-5,浪淘沙,秋江晚望,远岫带斜阳,0.8677,0.2000,0.6677
qwen3.6-plus,祝英台近,秋浦夜泊,寒浦泊孤棹,deepseek-3.2-thinking,祝英台近,秋江夜泊,孤艇泊荒渚,0.8661,0.2000,0.6661
glm-5,沁园春,晚秋登高,极目江楼,glm-5,沁园春,晚秋江上,凭栏望极关山,0.8644,0.2000,0.6644
qwen3.6-plus,清平乐,秋庭夜思,欲寄尺书无处,deepseek-3.2-thinking,祝英台近,云屏忆,音书难寄,0.8604,0.2000,0.6604
doubao-seed-2.0-pro,浪淘沙,秋夜泊瓜洲,陈迹漂蓬,qwen3.6-plus,祝英台近,秋江夜泊,十年踪迹萍飘,0.8602,0.2000,0.6602
doubao-seed-2.0-pro,浪淘沙,秋夜泊瓜洲,陈迹漂蓬,qwen3.6-plus,祝英台近,秋暮登临,十年踪迹萍飘,0.8602,0.2000,0.6602
qwen3.6-plus,沁园春,秋江夜泊,渔火微明,deepseek-3.2-thinking,祝英台近,秋江夜泊,寒灯明灭渔村,0.8599,0.2000,0.6599
deepseek-3.2-thinking,沁园春,江夜怀古,渔火微明,deepseek-3.2-thinking,祝英台近,秋江夜泊,寒灯明灭渔村,0.8599,0.2000,0.6599
qwen3.6-plus,清平乐,秋庭夜思,欲寄尺书无处,deepseek-3.2-thinking,祝英台近,云崖秋思,鱼书难寄,0.8597,0.2000,0.6597
doubao-seed-2.0-pro,菩萨蛮,夏日湖亭晚眺,汀洲蘋草香,deepseek-3.2-thinking,祝英台近,秋江寄怀,芳草绿汀渚,0.8587,0.2000,0.6587
doubao-seed-2.0-pro,沁园春,秋日登吴山望钱塘作,有诗题绝壁,doubao-seed-2.0-pro,沁园春,秋过西湖故友旧居,素壁题诗,0.8808,0.2222,0.6586
qwen3.6-plus,菩萨蛮,秋夜书怀,年光随水逝,deepseek-3.2-thinking,祝英台近,秋夜寄友,逝水年华,0.8794,0.2222,0.6572
qwen3.6-plus,祝英台近,秋江夜泊,孤舟泊寒浦,qwen3.6-plus,祝英台近,秋江夜泊,烟渚泊孤艇,0.8563,0.2000,0.6563
doubao-seed-2.0-pro,菩萨蛮,山居秋暮,篱边菊正黄,deepseek-3.2-thinking,沁园春,秋日感怀,菊黄篱畔,0.8777,0.2222,0.6554
doubao-seed-2.0-pro,浪淘沙,客次中秋对月,云敛暮天青,glm-5,浪淘沙,溪亭独酌,远岫暮云平,0.8550,0.2000,0.6550
qwen3.6-plus,清平乐,秋江晚望,暮色连空阔,qwen3.6-plus,浪淘沙,江行秋望,野阔暮云收,0.8548,0.2000,0.6548
deepseek-3.2-thinking,清平乐,夜读,岁华流逝匆匆,deepseek-3.2-thinking,祝英台近,秋夜寄友,逝水年华,0.8545,0.2000,0.6545
doubao-seed-2.0-pro,菩萨蛮,江行晚望,归心逐雁征,doubao-seed-2.0-pro,浪淘沙,秋泊瓜洲,羁思逐归鸿,0.8545,0.2000,0.6545
doubao-seed-2.0-pro,清平乐,秋江晚泊,荻絮飞如霰,deepseek-3.2-thinking,菩萨蛮,暮江秋思,芦花飞似雪,0.8530,0.2000,0.6530
doubao-seed-2.0-pro,沁园春,秋登庐山,叠翠层峦,glm-5,沁园春,观海,层楼叠嶂,0.9026,0.2500,0.6526
doubao-seed-2.0-pro,清平乐,秋江晚泊,荻岸风初起,qwen3.6-plus,菩萨蛮,秋江夜泊,风起荻花秋,0.8516,0.2000,0.6516
doubao-seed-2.0-pro,沁园春,秋泛太湖望洞庭两山,芦汀霜冷,doubao-seed-2.0-pro,浪淘沙,秋夜泊淮上,霜月冷汀洲,0.8722,0.2222,0.6499
deepseek-3.2-thinking,沁园春,春暮游湖,日暖风柔,deepseek-3.2-thinking,沁园春,人生感怀,风暖日融,0.8995,0.2500,0.6495
qwen3.6-plus,沁园春,秋江夜眺,共泛轻舟,deepseek-3.2-thinking,沁园春,星际遐思,宇舟轻泛,0.8993,0.2500,0.6493
qwen3.6-plus,祝英台近,秋登吴台怀古,长倚危栏,glm-5,菩萨蛮,春晚,独倚玉阑干,0.8701,0.2222,0.6479
doubao-seed-2.0-pro,沁园春,北固山秋望,寒江卷浪,doubao-seed-2.0-pro,沁园春,北固亭秋望,浪卷寒沙,0.8967,0.2500,0.6467
doubao-seed-2.0-pro,浪淘沙,客次中秋对月,云敛暮天青,doubao-seed-2.0-pro,沁园春,登北固楼秋望,远岫云收,0.8666,0.2222,0.6444
doubao-seed-2.0-pro,浪淘沙,客次中秋对月,云敛暮天青,qwen3.6-plus,沁园春,秋江夜眺,远岫云收,0.8666,0.2222,0.6444
qwen3.6-plus,祝英台近,秋山行吟,石径苔侵,deepseek-3.2-thinking,菩萨蛮,秋山夜咏,苔痕侵石青,0.8653,0.2222,0.6431
doubao-seed-2.0-pro,沁园春,秋登北固山怀稼轩,藓蚀碑残,doubao-seed-2.0-pro,沁园春,北固亭秋望,残碑蚀字,0.8917,0.2500,0.6417
doubao-seed-2.0-pro,菩萨蛮,桐江秋夜旅泊,暗添霜鬓星,deepseek-3.2-thinking,祝英台近,秋夜怀人,鬓霜添,0.8910,0.2500,0.6410
doubao-seed-2.0-pro,沁园春,秋日登北固楼,岸藓侵碑,deepseek-3.2-thinking,菩萨蛮,秋山夜咏,苔痕侵石青,0.8629,0.2222,0.6407
doubao-seed-2.0-pro,沁园春,秋泛太湖望洞庭两山,芦汀霜冷,doubao-seed-2.0-pro,浪淘沙,秋泊感旧,枫冷汀洲,0.8902,0.2500,0.6402
doubao-seed-2.0-pro,沁园春,秋泛太湖望洞庭两山,芦汀霜冷,qwen3.6-plus,沁园春,秋江望月,露冷芦花,0.8899,0.2500,0.6399
doubao-seed-2.0-pro,祝英台近,荷亭忆旧,石径侵苔,deepseek-3.2-thinking,菩萨蛮,秋山夜咏,苔痕侵石青,0.8617,0.2222,0.6395
doubao-seed-2.0-pro,祝英台近,暮春怀京口旧游,鸥盟空负,doubao-seed-2.0-pro,浪淘沙,秋泊感旧,不负盟鸥,0.8874,0.2500,0.6374
glm-5,浪淘沙,秋江旅怀,极目望长安,glm-5,祝英台近,秋思,望极天涯,0.8584,0.2222,0.6362
deepseek-3.2-thinking,祝英台近,冬夜寄怀,望极天涯,glm-5,浪淘沙,秋江旅怀,极目望长安,0.8584,0.2222,0.6362
qwen3.6-plus,沁园春,秋江夜泊,望千峰敛翠,qwen3.6-plus,祝英台近,秋江别思,数峰凝黛,0.8583,0.2222,0.6361
deepseek-3.2-thinking,祝英台近,秋夜寄友,逝水年华,glm-5,沁园春,登楼感怀,叹流光易逝,0.8576,0.2222,0.6354
deepseek-3.2-thinking,祝英台近,秋夜寄友,逝水年华,glm-5,沁园春,秋望,叹流光易逝,0.8576,0.2222,0.6354
deepseek-3.2-thinking,祝英台近,秋夜寄友,逝水年华,glm-5,沁园春,观海抒怀,叹流光易逝,0.8576,0.2222,0.6354
deepseek-3.2-thinking,祝英台近,秋夜寄友,逝水年华,glm-5,沁园春,夜观星图,叹流光易逝,0.8576,0.2222,0.6354
deepseek-3.2-thinking,清平乐,夜航,江阔天低树,glm-5,沁园春,夜观星图,天阔云疏,0.8558,0.2222,0.6336
qwen3.6-plus,清平乐,秋江夜泊,寒烟锁岫,deepseek-3.2-thinking,祝英台近,秋夜思,烟霭锁寒渚,0.8546,0.2222,0.6324
doubao-seed-2.0-pro,浪淘沙,客次中秋对月,云敛暮天青,qwen3.6-plus,沁园春,秋望抒怀,云收远岫,0.8546,0.2222,0.6324
doubao-seed-2.0-pro,菩萨蛮,横塘晚归,轻罗沾露软,glm-5,沁园春,秋怀,露湿衣轻,0.8534,0.2222,0.6312
deepseek-3.2-thinking,菩萨蛮,秋日登高,长空雁字横,deepseek-3.2-thinking,祝英台近,秋夜怀人,雁影横空,0.8534,0.2222,0.6312
doubao-seed-2.0-pro,沁园春,秋登京口北固楼有怀,芦花白渚,qwen3.6-plus,清平乐,秋江夜泊,芦雪飞汀岸,0.8534,0.2222,0.6311
doubao-seed-2.0-pro,沁园春,秋泛太湖望洞庭两山,万顷澄波,glm-5,沁园春,秋望,寒波千顷,0.8808,0.2500,0.6308
doubao-seed-2.0-pro,沁园春,太湖秋泛,万顷澄波,glm-5,沁园春,秋望,寒波千顷,0.8808,0.2500,0.6308
qwen3.6-plus,沁园春,秋江夜泊,芦花飞雪,qwen3.6-plus,祝英台近,秋江夜泊,荻雪飞霜,0.8807,0.2500,0.6307
