句1模型,句1词牌,句1题目,句1内容,句2模型,句2词牌,句2题目,句2内容,语义相似度,字面相似度,差值(伪原创指数)
doubao-seed-2.0-pro,沁园春,宗门感怀,锋藏剑鞘,doubao-seed-2.0-pro,沁园春,宗门述怀,剑锷藏锋,0.9248,0.2500,0.6748
doubao-seed-2.0-pro,沁园春,宗门感怀,严规立矩,deepseek-3.2-thinking,沁园春,宗门思变,规矩虽严,0.9150,0.2500,0.6650
doubao-seed-2.0-pro,沁园春,宗门感怀,严规立矩,deepseek-3.2-thinking,沁园春,宗规感怀,规矩虽严,0.9150,0.2500,0.6650
doubao-seed-2.0-pro,沁园春,宗门感怀,严规立矩,deepseek-3.2-thinking,沁园春,仙门感怀,规矩虽严,0.9150,0.2500,0.6650
doubao-seed-2.0-pro,沁园春,仙门感怀,严规峻矩,deepseek-3.2-thinking,沁园春,宗门思变,规矩虽严,0.9127,0.2500,0.6627
doubao-seed-2.0-pro,沁园春,仙门感怀,严规峻矩,deepseek-3.2-thinking,沁园春,宗规感怀,规矩虽严,0.9127,0.2500,0.6627
doubao-seed-2.0-pro,沁园春,仙门感怀,严规峻矩,deepseek-3.2-thinking,沁园春,仙门感怀,规矩虽严,0.9127,0.2500,0.6627
doubao-seed-2.0-pro,沁园春,宗门感怀,霜凝剑锷,qwen3.6-plus,沁园春,破规吟,剑气凝霜,0.9091,0.2500,0.6591
doubao-seed-2.0-pro,沁园春,宗门感怀,霜凝剑锷,qwen3.6-plus,沁园春,玄规吟,剑气凝霜,0.9091,0.2500,0.6591
doubao-seed-2.0-pro,沁园春,宗门感怀,霜凝剑锷,qwen3.6-plus,沁园春,宗门新议,剑气凝霜,0.9091,0.2500,0.6591
doubao-seed-2.0-pro,沁园春,宗门感怀,霜凝剑锷,qwen3.6-plus,沁园春,破规吟,剑气凝霜,0.9091,0.2500,0.6591
doubao-seed-2.0-pro,沁园春,宗门感怀,霜凝剑锷,qwen3.6-plus,沁园春,玄规吟,剑气凝霜,0.9091,0.2500,0.6591
doubao-seed-2.0-pro,沁园春,宗门感怀,霜凝剑锷,qwen3.6-plus,沁园春,宗门新议,剑气凝霜,0.9091,0.2500,0.6591
doubao-seed-2.0-pro,沁园春,宗门感怀,严规立矩,deepseek-3.2-thinking,沁园春,宗派感怀,规矩森严,0.9022,0.2500,0.6522
doubao-seed-2.0-pro,沁园春,宗门感怀,严规立矩,deepseek-3.2-thinking,沁园春,规革吟,规矩森严,0.9022,0.2500,0.6522
doubao-seed-2.0-pro,沁园春,宗门感怀,严规立矩,deepseek-3.2-thinking,沁园春,宗门感怀,规矩森严,0.9022,0.2500,0.6522
doubao-seed-2.0-pro,沁园春,宗门感怀,严规立矩,deepseek-3.2-thinking,沁园春,宗门感怀,规矩森严,0.9022,0.2500,0.6522
doubao-seed-2.0-pro,沁园春,宗门感怀,严规立矩,deepseek-3.2-thinking,沁园春,宗门抒怀,规矩森严,0.9022,0.2500,0.6522
