句1模型,句1词牌,句1题目,句1内容,句2模型,句2词牌,句2题目,句2内容,语义相似度,字面相似度,差值(伪原创指数)
doubao-seed-2.0-pro,浪淘沙,见玉兰偶作,峭寒犹透布衫凉,doubao-seed-2.0-pro,菩萨蛮,校中见玉兰偶作,风透薄衫寒,0.9132,0.1667,0.7465
doubao-seed-2.0-pro,浪淘沙,寓舍见玉兰花感作,春寒偏透客衫单,doubao-seed-2.0-pro,菩萨蛮,校中见玉兰偶作,风透薄衫寒,0.8808,0.1667,0.7141
deepseek-3.2-thinking,清平乐,见玉兰有感,顿悟人生真意,deepseek-3.2-thinking,浪淘沙,见玉兰感怀,生命真谛从此悟,0.8647,0.1538,0.7109
doubao-seed-2.0-pro,沁园春,庭前见玉兰作,万朵琼英缀玉坡,doubao-seed-2.0-pro,浪淘沙,院隅见玉兰感作,玉蕊绽琼瑶,0.8764,0.1667,0.7097
deepseek-3.2-thinking,菩萨蛮,春暮见玉兰,玉树绽琼芳,doubao-seed-2.0-pro,沁园春,庭前见玉兰作,万朵琼英缀玉坡,0.8743,0.1667,0.7076
deepseek-3.2-thinking,清平乐,见玉兰有感,素华皎洁如霜,qwen3.6-plus,沁园春,玉兰见志,霜姿皎皎,0.8980,0.2000,0.6980
deepseek-3.2-thinking,清平乐,玉兰新悟,冰姿素影清华,qwen3.6-plus,沁园春,咏玉兰,清姿映月,0.8965,0.2000,0.6965
qwen3.6-plus,菩萨蛮,玉阑春望,素蕊凝霜明,doubao-seed-2.0-pro,菩萨蛮,郊行见玉兰有感,琼葩凝素雪,0.8963,0.2000,0.6963
doubao-seed-2.0-pro,菩萨蛮,春日见玉兰作,春寒漫透单衣湿,doubao-seed-2.0-pro,菩萨蛮,校中见玉兰偶作,风透薄衫寒,0.8621,0.1667,0.6955
qwen3.6-plus,清平乐,玉兰照眼,琼英立雪枝端,gemini-3.1-pro,沁园春,赋白玉兰兼抒怀,繁枝雪立,0.8916,0.2000,0.6916
