词ID,模型,词牌,题目,句数,平均语义相似度,平均字面相似度,最高语义相似度,最高字面相似度
233,qwen3.6-plus,沁园春,玄门问纲,13,0.3784,0.0079,0.5897,0.2500
171,deepseek-3.2-thinking,沁园春,宗派感怀,25,0.3673,0.0161,0.7555,0.5714
164,deepseek-3.2-thinking,沁园春,宗规吟,25,0.3648,0.0203,0.7543,0.5000
221,qwen3.6-plus,沁园春,玄律新声,12,0.3597,0.0061,0.5559,0.2500
255,qwen3.6-plus,沁园春,宗律新思,26,0.3578,0.0104,0.6945,0.4444
134,deepseek-3.2-thinking,沁园春,宗规感怀,25,0.3572,0.0166,0.6830,0.3333
148,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3559,0.0089,0.6648,0.5000
227,qwen3.6-plus,沁园春,宗门夜思,13,0.3544,0.0084,0.6683,0.2500
169,deepseek-3.2-thinking,沁园春,规训思变,25,0.3542,0.0098,0.7523,0.5000
126,deepseek-3.2-thinking,沁园春,宗门夜思,25,0.3515,0.0171,0.8550,0.5000
263,qwen3.6-plus,沁园春,述怀·宗门夜思,26,0.3512,0.0171,0.7723,0.5000
226,qwen3.6-plus,沁园春,问规,13,0.3509,0.0000,0.6655,0.0000
168,deepseek-3.2-thinking,沁园春,规革沉吟,25,0.3504,0.0109,0.6994,0.4000
257,qwen3.6-plus,沁园春,宗门书怀,25,0.3492,0.0157,0.8860,0.6667
154,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3486,0.0098,0.6297,0.2857
128,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3479,0.0184,0.7027,0.5000
178,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3479,0.0179,0.6628,0.4444
187,deepseek-3.2-thinking,沁园春,宗规感怀,26,0.3473,0.0111,0.7299,0.4444
245,qwen3.6-plus,沁园春,宗阁凝思,25,0.3466,0.0116,0.6724,0.4444
218,qwen3.6-plus,沁园春,云崖问律,13,0.3465,0.0021,0.5481,0.1667
117,deepseek-3.2-thinking,沁园春,宗门思变,25,0.3458,0.0066,0.6636,0.2857
20,doubao-seed-2.0-pro,沁园春,宗门感事,25,0.3457,0.0064,0.7768,0.2857
200,qwen3.6-plus,沁园春,玄枢阁偶感,13,0.3453,0.0000,0.6784,0.0000
214,qwen3.6-plus,沁园春,宗门新议,12,0.3449,0.0109,0.5756,0.2857
210,qwen3.6-plus,沁园春,玄规吟,25,0.3448,0.0019,0.6202,0.2500
138,deepseek-3.2-thinking,沁园春,宗规感怀,25,0.3440,0.0097,0.7431,0.5000
236,qwen3.6-plus,沁园春,玄门思变,25,0.3438,0.0080,0.6627,0.2857
81,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3436,0.0068,0.6945,0.2857
205,qwen3.6-plus,沁园春,规衡,13,0.3434,0.0000,0.5339,0.0000
244,qwen3.6-plus,沁园春,宗门书怀,25,0.3433,0.0086,0.6674,0.3333
253,qwen3.6-plus,沁园春,宗门夜思,25,0.3432,0.0073,0.6856,0.2500
122,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3431,0.0174,0.7345,0.5000
174,deepseek-3.2-thinking,沁园春,规革之思,25,0.3429,0.0139,0.7825,0.5000
252,qwen3.6-plus,沁园春,宗规叹,25,0.3429,0.0107,0.5735,0.2500
139,deepseek-3.2-thinking,沁园春,宗门感事,25,0.3424,0.0089,0.7530,0.4444
239,qwen3.6-plus,沁园春,道院沉吟,26,0.3423,0.0098,0.6649,0.2500
196,deepseek-3.2-thinking,沁园春,宗门思变,25,0.3418,0.0318,0.9186,0.7500
241,qwen3.6-plus,沁园春,玄门问律,26,0.3418,0.0101,0.7438,0.3333
84,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3410,0.0094,0.7353,0.2857
219,qwen3.6-plus,沁园春,玄门新议,25,0.3404,0.0064,0.6563,0.2857
112,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3402,0.0084,0.7009,0.2857
260,qwen3.6-plus,沁园春,宗务有感,25,0.3401,0.0153,0.6475,0.3333
111,deepseek-3.2-thinking,沁园春,宗派忧思,25,0.3393,0.0042,0.6726,0.2857
197,deepseek-3.2-thinking,沁园春,宗派感怀,25,0.3393,0.0179,0.7073,0.7143
47,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3387,0.0054,0.5964,0.2500
216,qwen3.6-plus,沁园春,云阶吟,13,0.3386,0.0037,0.5680,0.2857
261,qwen3.6-plus,沁园春,宗门改制叹,25,0.3381,0.0088,0.6321,0.2500
75,doubao-seed-2.0-pro,沁园春,宗门述怀,25,0.3379,0.0042,0.6176,0.2500
118,deepseek-3.2-thinking,沁园春,宗门抒怀,25,0.3378,0.0141,0.7873,0.5000
192,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3376,0.0117,0.6422,0.4444
242,qwen3.6-plus,沁园春,规叹,25,0.3372,0.0078,0.7306,0.5000
130,deepseek-3.2-thinking,沁园春,宗规感怀,25,0.3370,0.0157,0.7684,0.5000
152,deepseek-3.2-thinking,沁园春,宗门感事,25,0.3367,0.0116,0.6240,0.5000
141,deepseek-3.2-thinking,沁园春,宗派感怀,25,0.3365,0.0075,0.6647,0.2857
220,qwen3.6-plus,沁园春,问宗规,25,0.3360,0.0064,0.5809,0.2500
170,deepseek-3.2-thinking,沁园春,仙门感怀,25,0.3358,0.0122,0.6990,0.5000
64,doubao-seed-2.0-pro,沁园春,宗门抒怀,25,0.3352,0.0047,0.7014,0.2500
97,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3350,0.0034,0.6223,0.2500
120,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3349,0.0071,0.7026,0.2500
215,qwen3.6-plus,沁园春,破阵子·观规有感,25,0.3349,0.0051,0.6137,0.2500
166,deepseek-3.2-thinking,沁园春,宗派抒怀,26,0.3349,0.0075,0.6085,0.2857
235,qwen3.6-plus,沁园春,玄规吟,25,0.3346,0.0080,0.6106,0.3636
207,qwen3.6-plus,沁园春,破规吟,13,0.3346,0.0028,0.6260,0.2222
159,deepseek-3.2-thinking,沁园春,宗规感怀,25,0.3343,0.0163,0.7957,0.5000
234,qwen3.6-plus,沁园春,宗门规箴有感,21,0.3341,0.0080,0.6276,0.2500
256,qwen3.6-plus,沁园春,宗门夜思,25,0.3338,0.0051,0.6476,0.5000
229,qwen3.6-plus,沁园春,玄规叹,18,0.3338,0.0072,0.5706,0.1818
254,qwen3.6-plus,沁园春,宗门感怀,26,0.3337,0.0093,0.7718,0.4000
116,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3336,0.0078,0.6427,0.2857
176,deepseek-3.2-thinking,沁园春,宗派感怀,25,0.3335,0.0066,0.7344,0.7273
44,doubao-seed-2.0-pro,沁园春,宗门抒怀,25,0.3334,0.0022,0.6080,0.2857
27,doubao-seed-2.0-pro,沁园春,仙门感怀,25,0.3329,0.0064,0.6526,0.2857
258,qwen3.6-plus,沁园春,宗门感怀,25,0.3328,0.0146,0.8462,0.7500
199,deepseek-3.2-thinking,沁园春,规革吟,25,0.3325,0.0172,0.6951,0.5000
36,doubao-seed-2.0-pro,沁园春,仙门感怀,25,0.3318,0.0007,0.6342,0.2222
23,doubao-seed-2.0-pro,沁园春,宗门述怀,25,0.3317,0.0097,0.7353,0.2500
160,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3316,0.0184,0.9087,0.7500
45,doubao-seed-2.0-pro,沁园春,宗门抒怀,25,0.3316,0.0049,0.6526,0.3333
238,qwen3.6-plus,沁园春,宗门偶感,25,0.3314,0.0050,0.6005,0.2500
129,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3310,0.0172,0.7869,0.5000
153,deepseek-3.2-thinking,沁园春,宗门抒怀,25,0.3306,0.0105,0.7514,0.5000
143,deepseek-3.2-thinking,沁园春,规训吟,25,0.3306,0.0113,0.7579,0.5000
15,doubao-seed-2.0-pro,沁园春,仙门感怀,25,0.3304,0.0032,0.7047,0.2222
188,deepseek-3.2-thinking,沁园春,宗规叹,26,0.3304,0.0122,0.6643,0.5000
42,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3304,0.0020,0.7114,0.2500
132,deepseek-3.2-thinking,沁园春,宗门抒怀,26,0.3304,0.0282,0.8185,0.6000
108,deepseek-3.2-thinking,沁园春,修仙感怀,25,0.3299,0.0094,0.7504,0.5000
249,qwen3.6-plus,沁园春,宗门叹,25,0.3296,0.0091,0.6674,0.3333
63,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3289,0.0071,0.7188,0.5000
247,qwen3.6-plus,沁园春,宗门问规,25,0.3282,0.0118,0.8463,0.6667
17,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3282,0.0072,0.6526,0.3333
225,qwen3.6-plus,沁园春,破阵子·宗门规诫有感,25,0.3280,0.0027,0.6545,0.2500
230,qwen3.6-plus,沁园春,宗门改革述怀,22,0.3279,0.0033,0.6433,0.2222
195,deepseek-3.2-thinking,沁园春,仙宗感事,25,0.3274,0.0125,0.6865,0.4000
251,qwen3.6-plus,沁园春,宗门改制有感,25,0.3271,0.0078,0.7020,0.2857
3,doubao-seed-2.0-pro,沁园春,宗门感事,25,0.3267,0.0040,0.5888,0.2500
