词ID,模型,词牌,题目,句数,平均语义相似度,平均字面相似度,最高语义相似度,最高字面相似度
189,deepseek-3.2-thinking,菩萨蛮,见玉兰有感,8,0.4148,0.0786,0.7024,0.4000
309,qwen3.6-plus,祝英台近,玉兰照夜,8,0.4034,0.0000,0.6327,0.0000
219,qwen3.6-plus,祝英台近,玉兰吟,8,0.3845,0.0065,0.6773,0.1818
588,doubao-seed-2.0-pro,清平乐,校园见玉兰感作,8,0.3833,0.0000,0.6007,0.0000
297,qwen3.6-plus,清平乐,玉兰辞,8,0.3826,0.0000,0.5858,0.0000
295,qwen3.6-plus,菩萨蛮,玉兰启明,8,0.3812,0.0071,0.7232,0.2000
241,qwen3.6-plus,清平乐,玉兰书怀,8,0.3795,0.0245,0.5931,0.2000
450,doubao-seed-2.0-pro,清平乐,校隅见玉兰有感,8,0.3789,0.0186,0.6169,0.2000
431,doubao-seed-2.0-pro,清平乐,春日校园见玉兰作,8,0.3789,0.0071,0.5243,0.2000
425,doubao-seed-2.0-pro,浪淘沙,寓舍阶前见玉兰作,10,0.3781,0.0090,0.5543,0.2222
240,qwen3.6-plus,浪淘沙,玉兰引,10,0.3760,0.0040,0.5497,0.1818
375,qwen3.6-plus,清平乐,见玉兰有感,8,0.3748,0.0120,0.5554,0.1818
484,doubao-seed-2.0-pro,菩萨蛮,庭中见玉兰偶题,8,0.3738,0.0122,0.6201,0.2000
420,doubao-seed-2.0-pro,清平乐,暮春见玉兰作,8,0.3733,0.0114,0.5572,0.1667
344,qwen3.6-plus,清平乐,玉兰初绽,8,0.3731,0.0055,0.6571,0.1538
378,qwen3.6-plus,祝英台近,见玉兰有悟,18,0.3722,0.0111,0.6595,0.4000
292,qwen3.6-plus,清平乐,玉兰照眼,8,0.3722,0.0065,0.5590,0.1818
416,doubao-seed-2.0-pro,清平乐,庭前观玉兰花作,8,0.3720,0.0294,0.5485,0.1818
281,qwen3.6-plus,清平乐,玉兰照影,8,0.3715,0.0060,0.5788,0.1667
264,qwen3.6-plus,清平乐,玉兰辞,8,0.3710,0.0000,0.4796,0.0000
352,qwen3.6-plus,菩萨蛮,初春见玉兰有感,8,0.3703,0.0194,0.5894,0.2000
245,qwen3.6-plus,祝英台近,玉兰见志,16,0.3702,0.0078,0.6541,0.2500
271,qwen3.6-plus,清平乐,玉兰吟,8,0.3695,0.0060,0.5426,0.1667
265,qwen3.6-plus,清平乐,玉兰启思,8,0.3687,0.0060,0.5866,0.1667
